Word	freqlivres	nblettres
a capella	0,07	9
a cappella	0,07	10
a contrario	0,27	11
a fortiori	0,88	10
a giorno	0,27	8
a jeun	0	6
a l'instar	0	10
a posteriori	0,14	12
a priori	2,57	8
a priori	0,47	8
ab absurdo	0,07	10
ab initio	0,07	9
ab ovo	0,27	6
abaca	0	5
abaissa	2,64	7
abaissai	0,07	8
abaissaient	0,41	11
abaissait	2,5	9
abaissant	0,27	9
abaissant	2,5	9
abaissante	0	10
abaisse	0	7
abaisse	3,45	7
abaisse-langue	0,14	14
abaissement	2,16	11
abaissent	0,95	9
abaisser	2,91	8
abaissera	0,07	9
abaisserai	0,07	10
abaisseraient	0,07	13
abaisserais	0	11
abaisserait	0,2	11
abaisses	0,07	8
abaissez	0,07	8
abaissons	0	9
abaissèrent	0,41	11
abaissé	1,35	7
abaissé	0,2	7
abaissée	0,27	8
abaissée	0,2	8
abaissées	0	9
abaissées	0,27	9
abaissés	0,07	8
abaissés	0,07	8
abalone	0	7
abalones	0,07	8
abandon	25,2	7
abandonna	8,92	9
abandonnai	2,16	10
abandonnaient	1,55	13
abandonnais	1,49	11
abandonnait	9,46	11
abandonnant	9,93	11
abandonnas	0,14	10
abandonne	15,54	9
abandonnent	2,64	11
abandonner	27,7	10
abandonnera	0,81	11
abandonnerai	0,41	12
abandonneraient	0,14	15
abandonnerais	0,27	13
abandonnerait	0,88	13
abandonneras	0,2	12
abandonnerez	0	12
abandonneriez	0,2	13
abandonnerions	0	14
abandonnerons	0,14	13
abandonneront	0,27	13
abandonnes	0,14	10
abandonneurs	0,07	12
abandonnez	0,88	10
abandonniez	0,14	11
abandonnions	0,54	12
abandonnique	0,07	12
abandonnons	0,68	11
abandonnâmes	0,27	12
abandonnât	0,34	10
abandonnèrent	1,42	13
abandonné	23,92	9
abandonné	8,45	9
abandonnée	9,66	10
abandonnée	8,24	10
abandonnées	2,7	11
abandonnées	2,97	11
abandonnés	4,93	10
abandonnés	4,73	10
abandons	2,16	8
abaque	0,07	6
abasourdi	2,03	9
abasourdi	2,09	9
abasourdie	0,54	10
abasourdie	0,54	10
abasourdir	0,14	10
abasourdis	0,07	10
abasourdis	0,2	10
abasourdissant	0	14
abasourdissants	0,07	15
abat	0,2	4
abat	4,93	4
abat-jour	8,24	9
abat-son	0,27	8
abatage	0,07	7
abatis	0,88	6
abats	0,81	5
abats	0,54	5
abattage	1,15	8
abattages	0,14	9
abattaient	2,36	10
abattais	0,27	8
abattait	3,45	8
abattant	0,54	8
abattant	1,96	8
abattants	0,07	9
abatte	0,61	6
abattement	2,36	10
abattements	0,27	11
abattent	2,03	8
abattes	0	7
abatteur	0,2	8
abatteurs	0,07	9
abattez	0	7
abattiez	0	8
abattions	0,07	9
abattirent	0,95	10
abattis	1,08	7
abattis	0,27	7
abattit	5,07	7
abattoir	2,36	8
abattoirs	2,3	9
abattons	0	8
abattra	0,61	7
abattrai	0	8
abattraient	0,07	11
abattrais	0,07	9
abattrait	0,41	9
abattras	0	8
abattre	14,32	7
abattrez	0	8
abattriez	0	9
abattrons	0	9
abattront	0,07	9
abattu	7,43	6
abattu	3,78	6
abattu	1,22	6
abattue	2,43	7
abattue	1,55	7
abattues	0,27	8
abattues	0,68	8
abattures	0,14	9
abattus	2,43	7
abattus	1,08	7
abattus	0,2	7
abbatial	0,27	8
abbatiale	0,27	9
abbatiale	0,14	9
abbatiales	0,07	10
abbaye	3,31	6
abbayes	0,47	7
abbesse	0,41	7
abbesses	0,61	8
abbé	31,28	4
abbés	1,22	5
abc	0	3
abcès	3,31	5
abdication	1,82	10
abdications	0,14	11
abdiqua	0,2	7
abdiquai	0,07	8
abdiquaient	0,07	11
abdiquais	0,14	9
abdiquait	0,2	9
abdiquant	0,07	9
abdique	0,41	7
abdiquer	0,41	8
abdiquera	0,07	9
abdiquerais	0,07	11
abdiquerait	0,07	11
abdiquez	0	8
abdiqué	0,95	7
abdiquée	0,07	8
abdomen	1,55	7
abdominal	0	9
abdominale	0,61	10
abdominales	0	11
abdominaux	0,14	10
abdominaux	0,68	10
abdos	0	5
abducteur	0	9
abduction	0	9
abeille	3,18	7
abeilles	6,69	8
aber	0	4
aberrant	1,08	8
aberrant	0,2	8
aberrante	0,61	9
aberrantes	0,34	10
aberrants	0,47	9
